+-----------------------+------+--------+-------+-------------+
|       series id       | year | period | value |  footnotes  |
+-----------------------+------+--------+-------+-------------+
| JTU000000000000000QUL | 2021 |  M08   |  5217 | preliminary |
| JTU000000000000000QUL | 2021 |  M07   |  4536 |             |
| JTU000000000000000QUL | 2021 |  M06   |  4122 |             |
| JTU000000000000000QUL | 2021 |  M05   |  3774 |             |
| JTU000000000000000QUL | 2021 |  M04   |  4068 |             |
| JTU000000000000000QUL | 2021 |  M03   |  3296 |             |
| JTU000000000000000QUL | 2021 |  M02   |  2776 |             |
| JTU000000000000000QUL | 2021 |  M01   |  3291 |             |
| JTU000000000000000QUL | 2020 |  M12   |  2961 |             |
| JTU000000000000000QUL | 2020 |  M11   |  2758 |             |
| JTU000000000000000QUL | 2020 |  M10   |  3450 |             |
| JTU000000000000000QUL | 2020 |  M09   |  3453 |             |
| JTU000000000000000QUL | 2020 |  M08   |  3834 |             |
| JTU000000000000000QUL | 2020 |  M07   |  3634 |             |
| JTU000000000000000QUL | 2020 |  M06   |  2879 |             |
| JTU000000000000000QUL | 2020 |  M05   |  2330 |             |
| JTU000000000000000QUL | 2020 |  M04   |  2098 |             |
| JTU000000000000000QUL | 2020 |  M03   |  2612 |             |
| JTU000000000000000QUL | 2020 |  M02   |  2789 |             |
| JTU000000000000000QUL | 2020 |  M01   |  3520 |             |
| JTU000000000000000QUL | 2019 |  M12   |  2982 |             |
| JTU000000000000000QUL | 2019 |  M11   |  2938 |             |
| JTU000000000000000QUL | 2019 |  M10   |  3527 |             |
| JTU000000000000000QUL | 2019 |  M09   |  3634 |             |
| JTU000000000000000QUL | 2019 |  M08   |  4450 |             |
| JTU000000000000000QUL | 2019 |  M07   |  4090 |             |
| JTU000000000000000QUL | 2019 |  M06   |  3795 |             |
| JTU000000000000000QUL | 2019 |  M05   |  3618 |             |
| JTU000000000000000QUL | 2019 |  M04   |  3487 |             |
| JTU000000000000000QUL | 2019 |  M03   |  3238 |             |
| JTU000000000000000QUL | 2019 |  M02   |  2904 |             |
| JTU000000000000000QUL | 2019 |  M01   |  3479 |             |
| JTU000000000000000QUL | 2018 |  M12   |  2889 |             |
| JTU000000000000000QUL | 2018 |  M11   |  2900 |             |
| JTU000000000000000QUL | 2018 |  M10   |  3572 |             |
| JTU000000000000000QUL | 2018 |  M09   |  3612 |             |
| JTU000000000000000QUL | 2018 |  M08   |  4323 |             |
| JTU000000000000000QUL | 2018 |  M07   |  3889 |             |
| JTU000000000000000QUL | 2018 |  M06   |  3664 |             |
| JTU000000000000000QUL | 2018 |  M05   |  3525 |             |
| JTU000000000000000QUL | 2018 |  M04   |  3352 |             |
| JTU000000000000000QUL | 2018 |  M03   |  3023 |             |
| JTU000000000000000QUL | 2018 |  M02   |  2577 |             |
| JTU000000000000000QUL | 2018 |  M01   |  3003 |             |
| JTU000000000000000QUL | 2017 |  M12   |  2714 |             |
| JTU000000000000000QUL | 2017 |  M11   |  2645 |             |
| JTU000000000000000QUL | 2017 |  M10   |  3289 |             |
| JTU000000000000000QUL | 2017 |  M09   |  3403 |             |
| JTU000000000000000QUL | 2017 |  M08   |  3935 |             |
| JTU000000000000000QUL | 2017 |  M07   |  3531 |             |
| JTU000000000000000QUL | 2017 |  M06   |  3420 |             |
