year,period,series_id,value
2000,M12,JTU000000000000000QUL,2331
2001,M01,JTU000000000000000QUL,3425
2001,M02,JTU000000000000000QUL,2472
2001,M03,JTU000000000000000QUL,2615
2001,M04,JTU000000000000000QUL,3312
2001,M05,JTU000000000000000QUL,2989
2001,M06,JTU000000000000000QUL,2908
2001,M07,JTU000000000000000QUL,3488
2001,M08,JTU000000000000000QUL,3662
2001,M09,JTU000000000000000QUL,2937
2001,M10,JTU000000000000000QUL,2940
2001,M11,JTU000000000000000QUL,2127
2001,M12,JTU000000000000000QUL,2054
2002,M01,JTU000000000000000QUL,2993
2002,M02,JTU000000000000000QUL,2012
2002,M03,JTU000000000000000QUL,2089
2002,M04,JTU000000000000000QUL,2752
2002,M05,JTU000000000000000QUL,2528
2002,M06,JTU000000000000000QUL,2544
2002,M07,JTU000000000000000QUL,3084
2002,M08,JTU000000000000000QUL,3282
2002,M09,JTU000000000000000QUL,2744
2002,M10,JTU000000000000000QUL,2562
2002,M11,JTU000000000000000QUL,1981
2002,M12,JTU000000000000000QUL,2015
2003,M01,JTU000000000000000QUL,2565
2003,M02,JTU000000000000000QUL,1940
2003,M03,JTU000000000000000QUL,2000
2003,M04,JTU000000000000000QUL,2379
2003,M05,JTU000000000000000QUL,2296
2003,M06,JTU000000000000000QUL,2361
2003,M07,JTU000000000000000QUL,2761
2003,M08,JTU000000000000000QUL,2900
2003,M09,JTU000000000000000QUL,2572
2003,M10,JTU000000000000000QUL,2556
2003,M11,JTU000000000000000QUL,1988
2003,M12,JTU000000000000000QUL,1949
2004,M01,JTU000000000000000QUL,2487
2004,M02,JTU000000000000000QUL,1902
2004,M03,JTU000000000000000QUL,2201
2004,M04,JTU000000000000000QUL,2601
2004,M05,JTU000000000000000QUL,2448
2004,M06,JTU000000000000000QUL,2742
2004,M07,JTU000000000000000QUL,3126
2004,M08,JTU000000000000000QUL,3305
2004,M09,JTU000000000000000QUL,2736
2004,M10,JTU000000000000000QUL,2703
2004,M11,JTU000000000000000QUL,2346
2004,M12,JTU000000000000000QUL,2191
2005,M01,JTU000000000000000QUL,2842
2005,M02,JTU000000000000000QUL,2091
2005,M03,JTU000000000000000QUL,2358
2005,M04,JTU000000000000000QUL,2789
2005,M05,JTU000000000000000QUL,2801
2005,M06,JTU000000000000000QUL,2860
2005,M07,JTU000000000000000QUL,3215
2005,M08,JTU000000000000000QUL,3717
2005,M09,JTU000000000000000QUL,3258
2005,M10,JTU000000000000000QUL,3018
2005,M11,JTU000000000000000QUL,2444
2005,M12,JTU000000000000000QUL,2352
2006,M01,JTU000000000000000QUL,3014
2006,M02,JTU000000000000000QUL,2392
2006,M03,JTU000000000000000QUL,2572
2006,M04,JTU000000000000000QUL,2813
2006,M05,JTU000000000000000QUL,3067
2006,M06,JTU000000000000000QUL,3176
2006,M07,JTU000000000000000QUL,3522
