year,period,series_id,value,total_quits
2000,M12,JTU000000000000000QUL,2331,2331000
2001,M01,JTU000000000000000QUL,3425,3425000
2001,M02,JTU000000000000000QUL,2472,2472000
2001,M03,JTU000000000000000QUL,2615,2615000
2001,M04,JTU000000000000000QUL,3312,3312000
2001,M05,JTU000000000000000QUL,2989,2989000
2001,M06,JTU000000000000000QUL,2908,2908000
2001,M07,JTU000000000000000QUL,3488,3488000
2001,M08,JTU000000000000000QUL,3662,3662000
2001,M09,JTU000000000000000QUL,2937,2937000
2001,M10,JTU000000000000000QUL,2940,2940000
2001,M11,JTU000000000000000QUL,2127,2127000
2001,M12,JTU000000000000000QUL,2054,2054000
2002,M01,JTU000000000000000QUL,2993,2993000
2002,M02,JTU000000000000000QUL,2012,2012000
2002,M03,JTU000000000000000QUL,2089,2089000
2002,M04,JTU000000000000000QUL,2752,2752000
2002,M05,JTU000000000000000QUL,2528,2528000
2002,M06,JTU000000000000000QUL,2544,2544000
2002,M07,JTU000000000000000QUL,3084,3084000
2002,M08,JTU000000000000000QUL,3282,3282000
2002,M09,JTU000000000000000QUL,2744,2744000
2002,M10,JTU000000000000000QUL,2562,2562000
2002,M11,JTU000000000000000QUL,1981,1981000
2002,M12,JTU000000000000000QUL,2015,2015000
2003,M01,JTU000000000000000QUL,2565,2565000
2003,M02,JTU000000000000000QUL,1940,1940000
2003,M03,JTU000000000000000QUL,2000,2000000
2003,M04,JTU000000000000000QUL,2379,2379000
2003,M05,JTU000000000000000QUL,2296,2296000
2003,M06,JTU000000000000000QUL,2361,2361000
2003,M07,JTU000000000000000QUL,2761,2761000
2003,M08,JTU000000000000000QUL,2900,2900000
2003,M09,JTU000000000000000QUL,2572,2572000
2003,M10,JTU000000000000000QUL,2556,2556000
2003,M11,JTU000000000000000QUL,1988,1988000
2003,M12,JTU000000000000000QUL,1949,1949000
2004,M01,JTU000000000000000QUL,2487,2487000
2004,M02,JTU000000000000000QUL,1902,1902000
2004,M03,JTU000000000000000QUL,2201,2201000
2004,M04,JTU000000000000000QUL,2601,2601000
2004,M05,JTU000000000000000QUL,2448,2448000
2004,M06,JTU000000000000000QUL,2742,2742000
2004,M07,JTU000000000000000QUL,3126,3126000
2004,M08,JTU000000000000000QUL,3305,3305000
2004,M09,JTU000000000000000QUL,2736,2736000
2004,M10,JTU000000000000000QUL,2703,2703000
2004,M11,JTU000000000000000QUL,2346,2346000
2004,M12,JTU000000000000000QUL,2191,2191000
2005,M01,JTU000000000000000QUL,2842,2842000
2005,M02,JTU000000000000000QUL,2091,2091000
2005,M03,JTU000000000000000QUL,2358,2358000
2005,M04,JTU000000000000000QUL,2789,2789000
2005,M05,JTU000000000000000QUL,2801,2801000
2005,M06,JTU000000000000000QUL,2860,2860000
2005,M07,JTU000000000000000QUL,3215,3215000
2005,M08,JTU000000000000000QUL,3717,3717000
2005,M09,JTU000000000000000QUL,3258,3258000
2005,M10,JTU000000000000000QUL,3018,3018000
2005,M11,JTU000000000000000QUL,2444,2444000
2005,M12,JTU000000000000000QUL,2352,2352000
2006,M01,JTU000000000000000QUL,3014,3014000
2006,M02,JTU000000000000000QUL,2392,2392000
2006,M03,JTU000000000000000QUL,2572,2572000
2006,M04,JTU000000000000000QUL,2813,2813000
2006,M05,JTU000000000000000QUL,3067,3067000
2006,M06,JTU000000000000000QUL,3176,3176000
2006,M07,JTU000000000000000QUL,3522,3522000
2006,M08,JTU000000000000000QUL,3840,3840000
2006,M09,JTU000000000000000QUL,3089,3089000
2006,M10,JTU000000000000000QUL,3147,3147000
2006,M11,JTU000000000000000QUL,2562,2562000
2006,M12,JTU000000000000000QUL,2473,2473000
2007,M01,JTU000000000000000QUL,3013,3013000
2007,M02,JTU000000000000000QUL,2373,2373000
2007,M03,JTU000000000000000QUL,2616,2616000
2007,M04,JTU000000000000000QUL,2940,2940000
2007,M05,JTU000000000000000QUL,3085,3085000
2007,M06,JTU000000000000000QUL,3053,3053000
2007,M07,JTU000000000000000QUL,3388,3388000
2007,M08,JTU000000000000000QUL,3783,3783000
2007,M09,JTU000000000000000QUL,2896,2896000
2007,M10,JTU000000000000000QUL,3079,3079000
2007,M11,JTU000000000000000QUL,2325,2325000
2007,M12,JTU000000000000000QUL,2305,2305000
2008,M01,JTU000000000000000QUL,2876,2876000
2008,M02,JTU000000000000000QUL,2340,2340000
2008,M03,JTU000000000000000QUL,2310,2310000
