,year,period,periodName,value,footnotes,total_quits
0,2009,M12,December,1426,{},1426000
0,2009,M11,November,1410,{},1410000
0,2009,M10,October,1761,{},1761000
0,2009,M09,September,1803,{},1803000
0,2009,M08,August,2154,{},2154000
0,2009,M07,July,1998,{},1998000
0,2009,M06,June,1824,{},1824000
0,2009,M05,May,1756,{},1756000
0,2009,M04,April,1742,{},1742000
0,2009,M03,March,1541,{},1541000
0,2009,M02,February,1503,{},1503000
0,2009,M01,January,1983,{},1983000
0,2008,M12,December,1707,{},1707000
0,2008,M11,November,1745,{},1745000
0,2008,M10,October,2484,{},2484000
0,2008,M09,September,2683,{},2683000
0,2008,M08,August,3143,{},3143000
0,2008,M07,July,2868,{},2868000
0,2008,M06,June,2740,{},2740000
0,2008,M05,May,2685,{},2685000
0,2008,M04,April,2862,{},2862000
0,2008,M03,March,2310,{},2310000
0,2008,M02,February,2340,{},2340000
0,2008,M01,January,2876,{},2876000
0,2007,M12,December,2305,{},2305000
0,2007,M11,November,2325,{},2325000
0,2007,M10,October,3079,{},3079000
0,2007,M09,September,2896,{},2896000
0,2007,M08,August,3783,{},3783000
0,2007,M07,July,3388,{},3388000
0,2007,M06,June,3053,{},3053000
0,2007,M05,May,3085,{},3085000
0,2007,M04,April,2940,{},2940000
0,2007,M03,March,2616,{},2616000
0,2007,M02,February,2373,{},2373000
0,2007,M01,January,3013,{},3013000
0,2006,M12,December,2473,{},2473000
0,2006,M11,November,2562,{},2562000
0,2006,M10,October,3147,{},3147000
0,2006,M09,September,3089,{},3089000
0,2006,M08,August,3840,{},3840000
0,2006,M07,July,3522,{},3522000
0,2006,M06,June,3176,{},3176000
0,2006,M05,May,3067,{},3067000
0,2006,M04,April,2813,{},2813000
0,2006,M03,March,2572,{},2572000
0,2006,M02,February,2392,{},2392000
0,2006,M01,January,3014,{},3014000
0,2005,M12,December,2352,{},2352000
0,2005,M11,November,2444,{},2444000
0,2005,M10,October,3018,{},3018000
0,2005,M09,September,3258,{},3258000
0,2005,M08,August,3717,{},3717000
0,2005,M07,July,3215,{},3215000
0,2005,M06,June,2860,{},2860000
0,2005,M05,May,2801,{},2801000
0,2005,M04,April,2789,{},2789000
0,2005,M03,March,2358,{},2358000
0,2005,M02,February,2091,{},2091000
0,2005,M01,January,2842,{},2842000
0,2004,M12,December,2191,{},2191000
0,2004,M11,November,2346,{},2346000
0,2004,M10,October,2703,{},2703000
0,2004,M09,September,2736,{},2736000
0,2004,M08,August,3305,{},3305000
0,2004,M07,July,3126,{},3126000
0,2004,M06,June,2742,{},2742000
0,2004,M05,May,2448,{},2448000
0,2004,M04,April,2601,{},2601000
0,2004,M03,March,2201,{},2201000
0,2004,M02,February,1902,{},1902000
0,2004,M01,January,2487,{},2487000
0,2003,M12,December,1949,{},1949000
0,2003,M11,November,1988,{},1988000
0,2003,M10,October,2556,{},2556000
0,2003,M09,September,2572,{},2572000
0,2003,M08,August,2900,{},2900000
0,2003,M07,July,2761,{},2761000
0,2003,M06,June,2361,{},2361000
0,2003,M05,May,2296,{},2296000
0,2003,M04,April,2379,{},2379000
0,2003,M03,March,2000,{},2000000
0,2003,M02,February,1940,{},1940000
0,2003,M01,January,2565,{},2565000
0,2002,M12,December,2015,{},2015000
0,2002,M11,November,1981,{},1981000
0,2002,M10,October,2562,{},2562000
0,2002,M09,September,2744,{},2744000
0,2002,M08,August,3282,{},3282000
0,2002,M07,July,3084,{},3084000
0,2002,M06,June,2544,{},2544000
0,2002,M05,May,2528,{},2528000
0,2002,M04,April,2752,{},2752000
0,2002,M03,March,2089,{},2089000
0,2002,M02,February,2012,{},2012000
0,2002,M01,January,2993,{},2993000
0,2001,M12,December,2054,{},2054000
0,2001,M11,November,2127,{},2127000
0,2001,M10,October,2940,{},2940000
0,2001,M09,September,2937,{},2937000
0,2001,M08,August,3662,{},3662000
0,2001,M07,July,3488,{},3488000
0,2001,M06,June,2908,{},2908000
0,2001,M05,May,2989,{},2989000
0,2001,M04,April,3312,{},3312000
0,2001,M03,March,2615,{},2615000
0,2001,M02,February,2472,{},2472000
0,2001,M01,January,3425,{},3425000
0,2000,M12,December,2331,{},2331000
